id,crime_date,area,crime_type,latitude,longitude,risk_level,source,status,description,created_at
69,2024-07-07,Raiwind,"Violent Crime",31.250160,74.220576,Medium,public,unverified,,"2025-08-10 20:45:04"
70,2024-01-03,"DHA Phase 3","Vehicle Theft",31.469892,74.389179,Medium,public,unverified,,"2025-08-10 20:45:04"
71,2024-04-15,"DHA Phase 3",Burglary,31.470342,74.389377,Medium,public,unverified,,"2025-08-10 20:45:04"
72,2024-11-07,"Muslim Town",Burglary,31.520505,74.311592,Medium,predicted,unverified,,"2025-08-10 20:45:04"
73,2024-04-20,"Liberty Market",Robbery,31.516353,74.328156,Medium,predicted,verified,,"2025-08-10 20:45:04"
74,2024-03-20,"DHA Phase 5",Robbery,31.460463,74.398755,Medium,public,unverified,,"2025-08-10 20:45:04"
75,2024-01-13,"DHA Phase 4",Robbery,31.465481,74.396594,Medium,public,unverified,,"2025-08-10 20:45:04"
76,2024-01-13,"Green Town","Violent Crime",31.465858,74.298686,Medium,predicted,unverified,,"2025-08-10 20:45:04"
77,2024-12-09,Township,"Street Crime",31.491169,74.268567,Medium,public,unverified,,"2025-08-10 20:45:04"
78,2024-05-28,"Garden Town",Burglary,31.491244,74.288438,Medium,public,verified,,"2025-08-10 20:45:04"
79,2024-01-01,"Iqbal Town","Street Crime",31.505775,74.333419,Medium,predicted,verified,,"2025-08-10 20:45:04"
80,2024-10-12,"Green Town","Street Crime",31.463930,74.298459,Medium,public,unverified,,"2025-08-10 20:45:04"
81,2024-08-24,Cantt,Burglary,31.539719,74.330722,Medium,public,unverified,,"2025-08-10 20:45:04"
82,2024-12-22,"Iqbal Town",Burglary,31.505289,74.333443,Medium,predicted,unverified,,"2025-08-10 20:45:04"
83,2024-02-12,Township,Robbery,31.491210,74.270638,Medium,public,unverified,,"2025-08-10 20:45:04"
84,2024-04-21,Township,"Street Crime",31.489288,74.271538,Medium,predicted,unverified,,"2025-08-10 20:45:04"
85,2024-08-28,"DHA Phase 2","Street Crime",31.476880,74.383185,Medium,public,unverified,,"2025-08-10 20:45:04"
86,2024-05-26,"Garden Town",Robbery,31.490623,74.289654,Medium,predicted,unverified,,"2025-08-10 20:45:04"
87,2024-03-02,"DHA Phase 6","Street Crime",31.453278,74.406805,Medium,predicted,verified,,"2025-08-10 20:45:04"
88,2024-11-05,"Muslim Town",Robbery,31.520542,74.310009,Medium,predicted,unverified,,"2025-08-10 20:45:04"
89,2024-05-28,Cantt,Robbery,31.540420,74.330855,Medium,public,verified,,"2025-08-10 20:45:04"
90,2024-03-03,Shadman,"Violent Crime",31.531139,74.319060,Medium,public,verified,,"2025-08-10 20:45:04"
91,2024-02-01,"Bahria Orchard",Robbery,31.410301,74.198665,Medium,predicted,unverified,,"2025-08-10 20:45:04"
92,2024-03-21,"Wapda Town","Street Crime",31.471171,74.288637,Medium,predicted,verified,,"2025-08-10 20:45:04"
93,2024-07-02,"Bahria Orchard",Robbery,31.410229,74.200247,Medium,public,verified,,"2025-08-10 20:45:04"
94,2024-10-26,"Muslim Town","Street Crime",31.520509,74.309765,Medium,public,unverified,,"2025-08-10 20:45:04"
95,2024-06-20,"Johar Town","Street Crime",31.456377,74.299108,Medium,public,verified,,"2025-08-10 20:45:04"
96,2024-03-28,"Model Town",Burglary,31.484621,74.315101,Medium,predicted,verified,,"2025-08-10 20:45:04"
97,2024-02-06,"DHA Phase 4","Street Crime",31.466227,74.394717,Medium,predicted,unverified,,"2025-08-10 20:45:04"
98,2024-07-18,"DHA Phase 1","Violent Crime",31.479160,74.380732,Medium,public,unverified,,"2025-08-10 20:45:04"
99,2024-06-04,Shadman,Robbery,31.530358,74.319448,Medium,public,unverified,,"2025-08-10 20:45:04"
100,2024-08-15,"DHA Phase 7",Robbery,31.449941,74.411732,Medium,predicted,unverified,,"2025-08-10 20:45:04"
101,2024-06-14,"Wapda Town",Robbery,31.471309,74.288685,Medium,predicted,unverified,,"2025-08-10 20:45:04"
102,2024-08-10,Township,"Vehicle Theft",31.490818,74.270939,Medium,predicted,unverified,,"2025-08-10 20:45:04"
103,2024-10-17,"DHA Phase 5",Robbery,31.460958,74.400387,Medium,public,verified,,"2025-08-10 20:45:04"
104,2024-09-07,"Johar Town",Burglary,31.455713,74.300214,Medium,predicted,unverified,,"2025-08-10 20:45:04"
105,2024-06-10,Township,"Vehicle Theft",31.491056,74.269024,Medium,predicted,verified,,"2025-08-10 20:45:04"
106,2024-01-20,"Bahria Town Lahore","Street Crime",31.396917,74.188371,Medium,predicted,unverified,,"2025-08-10 20:45:04"
107,2024-07-04,Shahdara,"Street Crime",31.579493,74.370883,Medium,predicted,unverified,,"2025-08-10 20:45:04"
108,2024-12-04,"Bahria Town Lahore","Street Crime",31.400536,74.187574,Medium,predicted,verified,,"2025-08-10 20:45:04"
109,2024-04-14,"Model Town",Robbery,31.482084,74.315488,Medium,public,unverified,,"2025-08-10 20:45:04"
110,2024-01-15,"DHA Phase 7","Violent Crime",31.450812,74.408608,Medium,public,unverified,,"2025-08-10 20:45:04"
111,2024-04-24,"DHA Phase 4","Street Crime",31.465265,74.396428,Medium,public,verified,,"2025-08-10 20:45:04"
112,2024-08-26,"Muslim Town","Vehicle Theft",31.518723,74.309957,Medium,public,unverified,,"2025-08-10 20:45:04"
113,2024-01-24,Gulshan-e-Ravi,Burglary,31.551598,74.319481,Medium,predicted,unverified,,"2025-08-10 20:45:04"
114,2024-04-06,"Model Town","Violent Crime",31.482131,74.315024,Medium,public,verified,,"2025-08-10 20:45:04"
115,2024-11-07,Shahdara,"Street Crime",31.581138,74.369821,Medium,predicted,unverified,,"2025-08-10 20:45:04"
116,2024-11-26,"Model Town",Robbery,31.482140,74.317788,Medium,public,unverified,,"2025-08-10 20:45:04"
117,2024-05-05,Gulshan-e-Ravi,"Street Crime",31.549603,74.321666,Medium,public,verified,,"2025-08-10 20:45:04"
118,2024-09-23,"DHA Phase 3",Robbery,31.468142,74.390950,Medium,predicted,unverified,,"2025-08-10 20:45:05"
119,2024-03-20,Sabzazar,"Vehicle Theft",31.480045,74.281617,Medium,predicted,unverified,,"2025-08-10 20:45:05"
120,2024-09-12,"Johar Town","Street Crime",31.455795,74.297815,Medium,public,verified,,"2025-08-10 20:45:05"
121,2024-07-02,Cantt,"Street Crime",31.539228,74.332334,Medium,predicted,unverified,,"2025-08-10 20:45:05"
122,2024-05-04,Gulberg,"Street Crime",31.519678,74.342491,Medium,public,unverified,,"2025-08-10 20:45:05"
123,2024-08-23,"Model Town",Burglary,31.485546,74.316210,Medium,predicted,verified,,"2025-08-10 20:45:05"
124,2024-08-25,Shadman,Robbery,31.529831,74.318145,Medium,predicted,unverified,,"2025-08-10 20:45:05"
125,2024-06-04,Sabzazar,Robbery,31.481745,74.279952,Medium,public,verified,,"2025-08-10 20:45:05"
126,2024-07-01,Raiwind,Robbery,31.248774,74.218185,Medium,public,verified,,"2025-08-10 20:45:05"
127,2024-05-06,"DHA Phase 6",Burglary,31.456072,74.406394,Medium,public,unverified,,"2025-08-10 20:45:05"
128,2024-08-13,"Liberty Market","Violent Crime",31.514885,74.326600,Medium,public,unverified,,"2025-08-10 20:45:05"
129,2024-06-19,"Allama Iqbal Town","Violent Crime",31.508008,74.340011,Medium,public,verified,,"2025-08-10 20:45:05"
130,2024-09-12,"Garden Town","Violent Crime",31.490786,74.289784,Medium,predicted,verified,,"2025-08-10 20:45:05"
131,2024-02-03,"DHA Phase 3",Robbery,31.468179,74.391436,Medium,predicted,unverified,,"2025-08-10 20:45:05"
132,2024-02-08,"Garden Town","Street Crime",31.490021,74.289695,Medium,public,verified,,"2025-08-10 20:45:05"
133,2024-12-20,"DHA Phase 1",Burglary,31.479297,74.380457,Medium,public,verified,,"2025-08-10 20:45:05"
134,2024-09-07,"DHA Phase 7","Street Crime",31.449813,74.411407,Medium,public,unverified,,"2025-08-10 20:45:05"
135,2024-02-01,"Bahria Town Lahore",Robbery,31.398385,74.186925,Medium,public,unverified,,"2025-08-10 20:45:05"
136,2024-06-25,"Iqbal Town","Vehicle Theft",31.503575,74.335841,Medium,public,verified,,"2025-08-10 20:45:05"
137,2024-12-13,"Wapda Town",Robbery,31.468237,74.291557,Medium,public,unverified,,"2025-08-10 20:45:05"
138,2024-11-06,"DHA Phase 1","Violent Crime",31.479700,74.378575,Medium,public,verified,,"2025-08-10 20:45:05"
139,2024-08-22,Cantt,"Violent Crime",31.541376,74.328816,Medium,public,unverified,,"2025-08-10 20:45:05"
140,2024-06-18,"DHA Phase 6",Burglary,31.453413,74.406111,Medium,public,verified,,"2025-08-10 20:45:05"
141,2024-06-06,Gulshan-e-Ravi,Robbery,31.549416,74.319313,Medium,predicted,unverified,,"2025-08-10 20:45:05"
142,2024-11-23,"Johar Town","Street Crime",31.454542,74.298153,Medium,predicted,unverified,,"2025-08-10 20:45:05"
143,2024-10-18,"Johar Town",Burglary,31.457321,74.299527,Medium,public,unverified,,"2025-08-10 20:45:05"
144,2024-03-13,"DHA Phase 2",Burglary,31.475674,74.385213,Medium,public,unverified,,"2025-08-10 20:45:05"
145,2024-08-13,Gulshan-e-Ravi,Burglary,31.551857,74.319082,Medium,predicted,unverified,,"2025-08-10 20:45:05"
146,2024-11-07,"Liberty Market",Burglary,31.515476,74.328228,Medium,predicted,unverified,,"2025-08-10 20:45:05"
147,2024-09-01,"DHA Phase 8",Burglary,31.446149,74.415996,Medium,public,verified,,"2025-08-10 20:45:05"
148,2024-03-19,"Johar Town","Violent Crime",31.457081,74.299421,Medium,public,verified,,"2025-08-10 20:45:05"
149,2024-07-25,"DHA Phase 2",Robbery,31.475640,74.385484,Medium,public,unverified,,"2025-08-10 20:45:05"
150,2024-03-26,"DHA Phase 1","Street Crime",31.478281,74.378825,Medium,public,unverified,,"2025-08-10 20:45:05"
151,2024-08-28,"Iqbal Town","Vehicle Theft",31.505620,74.334563,Medium,public,verified,,"2025-08-10 20:45:05"
152,2024-04-06,"DHA Phase 2",Burglary,31.474321,74.385479,Medium,public,unverified,,"2025-08-10 20:45:05"
153,2024-11-14,"Green Town","Street Crime",31.465235,74.300030,Medium,public,unverified,,"2025-08-10 20:45:05"
154,2024-11-09,Township,Robbery,31.489717,74.270744,Medium,public,verified,,"2025-08-10 20:45:05"
155,2024-11-13,"DHA Phase 3",Robbery,31.468196,74.389598,Medium,public,verified,,"2025-08-10 20:45:05"
156,2024-09-11,"Iqbal Town","Vehicle Theft",31.504647,74.333622,Medium,public,unverified,,"2025-08-10 20:45:05"
157,2024-10-13,Gulberg,Robbery,31.519982,74.339687,Medium,predicted,unverified,,"2025-08-10 20:45:05"
158,2024-12-10,Gulberg,Robbery,31.519124,74.338859,Medium,public,unverified,,"2025-08-10 20:45:05"
159,2024-06-25,"Ferozepur Road","Street Crime",31.505901,74.309456,Medium,public,unverified,,"2025-08-10 20:45:05"
160,2024-02-12,"Model Town","Violent Crime",31.482349,74.316968,Medium,public,unverified,,"2025-08-10 20:45:05"
161,2024-10-17,"Liberty Market","Street Crime",31.515240,74.325399,Medium,public,unverified,,"2025-08-10 20:45:05"
162,2024-03-22,"Iqbal Town","Street Crime",31.503761,74.333427,Medium,public,verified,,"2025-08-10 20:45:05"
163,2024-09-05,Sabzazar,Robbery,31.480608,74.279976,Medium,public,verified,,"2025-08-10 20:45:05"
164,2024-06-03,"Wapda Town","Street Crime",31.471002,74.291271,Medium,public,unverified,,"2025-08-10 20:45:05"
165,2024-08-10,Shahdara,Robbery,31.578100,74.371974,Medium,public,unverified,,"2025-08-10 20:45:05"
166,2024-09-06,Shadman,"Street Crime",31.531117,74.320309,Medium,predicted,unverified,,"2025-08-10 20:45:05"
167,2024-04-05,"DHA Phase 2",Burglary,31.476456,74.385471,Medium,public,verified,,"2025-08-10 20:45:05"
168,2024-08-06,Cantt,Robbery,31.540234,74.330465,Medium,predicted,unverified,,"2025-08-10 20:45:05"
169,2024-09-15,"DHA Phase 3","Vehicle Theft",31.470362,74.391218,Medium,public,verified,,"2025-08-10 20:45:05"
170,2024-08-22,"DHA Phase 4","Violent Crime",31.464496,74.394586,Medium,predicted,unverified,,"2025-08-10 20:45:05"
171,2024-10-22,"DHA Phase 7",Robbery,31.450793,74.409716,Medium,public,verified,,"2025-08-10 20:45:05"
172,2024-12-11,"Bahria Town Lahore","Street Crime",31.398120,74.187015,Medium,predicted,verified,,"2025-08-10 20:45:05"
173,2024-06-12,"Bahria Orchard","Vehicle Theft",31.410852,74.200734,Medium,public,unverified,,"2025-08-10 20:45:05"
174,2024-12-26,"Ferozepur Road",Robbery,31.504138,74.310537,Medium,public,unverified,,"2025-08-10 20:45:05"
175,2024-02-21,"Iqbal Town","Vehicle Theft",31.506502,74.334934,Medium,predicted,unverified,,"2025-08-10 20:45:05"
176,2024-01-19,"DHA Phase 6","Street Crime",31.455268,74.406180,Medium,predicted,unverified,,"2025-08-10 20:45:05"
177,2024-03-02,Shadman,"Street Crime",31.529250,74.320010,Medium,public,verified,,"2025-08-10 20:45:05"
178,2024-04-05,"DHA Phase 3",Robbery,31.468238,74.391989,Medium,public,verified,,"2025-08-10 20:45:05"
179,2024-09-14,"Ferozepur Road","Vehicle Theft",31.503149,74.310645,Medium,public,verified,,"2025-08-10 20:45:05"
180,2024-10-17,"Green Town","Street Crime",31.466703,74.298552,Medium,public,unverified,,"2025-08-10 20:45:05"
181,2024-01-23,Township,"Street Crime",31.490208,74.270390,Medium,public,unverified,,"2025-08-10 20:45:05"
182,2024-05-05,"Muslim Town","Street Crime",31.519941,74.311963,Medium,public,verified,,"2025-08-10 20:45:05"
183,2024-03-17,"Ferozepur Road",Robbery,31.504328,74.309341,Medium,public,verified,,"2025-08-10 20:45:05"
184,2024-12-22,Township,"Street Crime",31.490347,74.268457,Medium,public,verified,,"2025-08-10 20:45:05"
185,2024-07-08,"Green Town",Robbery,31.463495,74.301230,Medium,predicted,verified,,"2025-08-10 20:45:05"
186,2024-02-12,Gulshan-e-Ravi,"Violent Crime",31.550289,74.318196,Medium,public,unverified,,"2025-08-10 20:45:05"
187,2024-03-08,"Bahria Town Lahore","Street Crime",31.398425,74.187476,Medium,public,unverified,,"2025-08-10 20:45:05"
188,2024-06-15,Township,"Violent Crime",31.489051,74.271090,Medium,public,unverified,,"2025-08-10 20:45:05"
189,2024-05-27,Gulberg,Robbery,31.520640,74.338534,Medium,public,unverified,,"2025-08-10 20:45:05"
190,2024-06-07,"Wapda Town","Street Crime",31.469963,74.291700,Medium,predicted,verified,,"2025-08-10 20:45:05"
191,2024-11-12,Raiwind,Robbery,31.248149,74.218947,Medium,public,verified,,"2025-08-10 20:45:05"
192,2024-10-28,"Iqbal Town",Robbery,31.504035,74.336313,Medium,public,unverified,,"2025-08-10 20:45:05"
193,2024-02-03,"Wapda Town","Violent Crime",31.470566,74.289656,Medium,public,unverified,,"2025-08-10 20:45:05"
194,2024-03-08,Township,Robbery,31.491719,74.271610,Medium,public,unverified,,"2025-08-10 20:45:05"
195,2024-11-07,"Bahria Orchard",Burglary,31.408890,74.198593,Medium,public,unverified,,"2025-08-10 20:45:05"
196,2024-05-13,"Allama Iqbal Town","Violent Crime",31.508363,74.341983,Medium,public,unverified,,"2025-08-10 20:45:05"
197,2024-01-05,"Model Town",Burglary,31.485554,74.317520,Medium,public,unverified,,"2025-08-10 20:45:05"
198,2024-05-23,"DHA Phase 7","Violent Crime",31.451934,74.410192,Medium,public,unverified,,"2025-08-10 20:45:05"
199,2024-10-18,Sabzazar,"Street Crime",31.479562,74.279158,Medium,public,unverified,,"2025-08-10 20:45:05"
200,2024-12-01,"DHA Phase 6","Violent Crime",31.454850,74.403539,Medium,predicted,unverified,,"2025-08-10 20:45:05"
201,2024-01-02,"Model Town","Street Crime",31.483287,74.316597,Medium,public,unverified,,"2025-08-10 20:45:05"
202,2024-09-27,"DHA Phase 5",Burglary,31.461517,74.401453,Medium,predicted,unverified,,"2025-08-10 20:45:05"
203,2024-10-05,"Bahria Town Lahore","Violent Crime",31.396722,74.189305,Medium,public,unverified,,"2025-08-10 20:45:05"
204,2024-08-05,"Garden Town",Burglary,31.489553,74.289018,Medium,public,unverified,,"2025-08-10 20:45:05"
205,2024-02-01,Sabzazar,Robbery,31.481424,74.281066,Medium,predicted,unverified,,"2025-08-10 20:45:05"
206,2024-06-01,"DHA Phase 2",Burglary,31.476256,74.384260,Medium,predicted,verified,,"2025-08-10 20:45:05"
207,2024-09-05,"Garden Town","Street Crime",31.489993,74.290443,Medium,public,verified,,"2025-08-10 20:45:05"
208,2024-04-09,"Johar Town","Street Crime",31.457547,74.298744,Medium,public,unverified,,"2025-08-10 20:45:05"
209,2024-03-15,"Bahria Orchard",Burglary,31.409694,74.199607,Medium,public,unverified,,"2025-08-10 20:45:05"
210,2024-08-22,"Model Town","Vehicle Theft",31.485397,74.316944,Medium,public,verified,,"2025-08-10 20:45:05"
211,2024-03-28,"Johar Town","Street Crime",31.454809,74.297459,Medium,public,verified,,"2025-08-10 20:45:05"
212,2024-03-19,"DHA Phase 1","Vehicle Theft",31.478889,74.380792,Medium,predicted,verified,,"2025-08-10 20:45:05"
213,2024-07-23,"Green Town",Robbery,31.463621,74.298047,Medium,public,verified,,"2025-08-10 20:45:05"
214,2024-09-09,"Allama Iqbal Town","Violent Crime",31.511167,74.338879,Medium,public,unverified,,"2025-08-10 20:45:05"
215,2024-09-13,"Bahria Orchard","Vehicle Theft",31.411417,74.200808,Medium,public,verified,,"2025-08-10 20:45:05"
216,2024-01-19,"Ferozepur Road",Burglary,31.505793,74.308678,Medium,public,unverified,,"2025-08-10 20:45:05"
217,2024-09-23,Township,Burglary,31.490533,74.269148,Medium,public,verified,,"2025-08-10 20:45:05"
218,2024-06-17,"DHA Phase 2",Burglary,31.476364,74.385818,Medium,predicted,unverified,,"2025-08-10 20:45:05"
219,2024-03-24,Cantt,"Violent Crime",31.539678,74.330126,Medium,public,verified,,"2025-08-10 20:45:05"
220,2024-07-27,"DHA Phase 6","Vehicle Theft",31.455552,74.405459,Medium,public,unverified,,"2025-08-10 20:45:05"
221,2024-11-21,"DHA Phase 3",Burglary,31.470669,74.389257,Medium,public,unverified,,"2025-08-10 20:45:05"
222,2024-09-04,Gulshan-e-Ravi,"Violent Crime",31.550915,74.319289,Medium,public,verified,,"2025-08-10 20:45:05"
223,2024-07-27,Gulberg,Burglary,31.519816,74.338903,Medium,public,verified,,"2025-08-10 20:45:05"
224,2024-02-14,Shadman,"Street Crime",31.531885,74.321622,Medium,public,verified,,"2025-08-10 20:45:05"
225,2024-03-12,"Liberty Market",Burglary,31.514080,74.326321,Medium,public,verified,,"2025-08-10 20:45:05"
226,2024-12-23,"DHA Phase 3",Robbery,31.471176,74.390854,Medium,predicted,verified,,"2025-08-10 20:45:05"
227,2024-09-01,"DHA Phase 3",Robbery,31.471804,74.388052,Medium,public,unverified,,"2025-08-10 20:45:05"
228,2024-12-27,Gulshan-e-Ravi,"Vehicle Theft",31.550175,74.318055,Medium,predicted,unverified,,"2025-08-10 20:45:05"
229,2024-12-13,"DHA Phase 4","Street Crime",31.466027,74.395765,Medium,public,verified,,"2025-08-10 20:45:05"
230,2024-03-19,"DHA Phase 1","Vehicle Theft",31.479931,74.380544,Medium,predicted,verified,,"2025-08-10 20:45:05"
231,2024-03-07,Gulshan-e-Ravi,Robbery,31.550508,74.318233,Medium,public,unverified,,"2025-08-10 20:45:05"
232,2024-08-06,"Ferozepur Road",Burglary,31.503332,74.311981,Medium,public,unverified,,"2025-08-10 20:45:05"
