id,crime_date,area,crime_type,latitude,longitude,risk_level
71,2023-03-13,South,burglary,40.732443054902944,-73.9513858710781,medium
72,2023-03-14,South,burglary,40.761453891664054,-73.90647890763739,medium
73,2023-03-15,South,burglary,40.78380440925727,-73.96021116083352,medium
74,2023-03-16,South,burglary,40.78275364866213,-73.98697811104572,medium
75,2023-03-17,East,vandalism,40.79088842373617,-73.96987151449758,medium
76,2023-03-18,East,vandalism,40.74643755731603,-73.92483786813683,medium
77,2023-03-19,East,vandalism,40.719069312723846,-73.91640362215786,medium
78,2023-03-20,East,vandalism,40.72702240811618,-73.98549196407502,medium
79,2023-03-21,East,vandalism,40.70287270018381,-73.95213500102801,medium
80,2023-03-22,East,vandalism,40.759555050712,-73.9841567801612,medium
81,2023-03-23,East,vandalism,40.70661627263757,-73.93094796295294,medium
82,2023-03-24,East,vandalism,40.753192632569956,-73.94632653537771,medium
83,2023-03-25,East,vandalism,40.737621047242556,-73.95619792585961,medium
84,2023-03-26,East,vandalism,40.76923353925624,-73.99722192250911,medium
85,2023-03-27,East,vandalism,40.71253199439213,-73.93639380736676,medium
86,2023-03-28,East,vandalism,40.71696262380999,-73.91329273277336,medium
87,2023-03-29,East,vandalism,40.79832732021403,-73.99353087699697,medium
88,2023-03-30,East,vandalism,40.704040628086936,-73.99661983057982,medium
89,2023-03-31,East,vandalism,40.777765780619774,-73.97900859207138,medium
90,2023-04-01,East,robbery,40.76093606347347,-73.94319509994362,medium
91,2023-04-02,East,robbery,40.74895686928174,-73.90364859953498,medium
92,2023-04-03,East,robbery,40.78592909606683,-73.99947429468803,medium
93,2023-04-04,East,robbery,40.720388756580824,-73.90217852279201,medium
94,2023-04-05,East,robbery,40.73247639219438,-73.96623165367119,medium
95,2023-04-06,East,robbery,40.79909864914108,-73.96059148722404,medium
96,2023-04-07,East,robbery,40.79836901921822,-73.99458200283847,medium
97,2023-04-08,East,robbery,40.79976882375616,-73.95380871997968,medium
98,2023-04-09,East,robbery,40.72959450764188,-73.91702213217825,medium
99,2023-04-10,East,robbery,40.79409155294999,-73.91883495802016,medium
